title,author,length
A Taste for Crime,"By: Ellery Adams, Tina Radcliffe",Length: 5 hrs and 53 mins
Under Locke,By: Mariana Zapata,Length: 15 hrs and 38 mins
I Never Knew Myself,By: Melanie Rachel,Length: 13 hrs and 42 mins
The Waiting,By: Michael Connelly,Length: 12 hrs
Frontier Summoner 6,By: Jack Bryce,Length: 8 hrs and 23 mins
Lone Star Rescue,By: Delores Fossen,Length: 5 hrs and 38 mins
Life of a Freelancer 2,By: G.S. D'Moore,Length: 19 hrs and 55 mins
Forged in Frost,By: Jasmine Walt,Length: 10 hrs and 53 mins
After the Flying Saucers Came,By: Greg Eghigian,Length: 15 hrs and 49 mins
Her Mafia Bride,By: Persephone Black,Length: 6 hrs and 59 mins
Avatar,By: Seth Ring,Length: 13 hrs and 41 mins
Savagely His: A Dark Billionaire Contemporary Romance,"By: Zoe Blake, Alta Hensley",Length: 9 hrs and 20 mins
Forbidden King,By: Laura Pavlov,Length: 9 hrs and 6 mins
The Laws of Human Nature,By: Robert Greene,Length: 28 hrs and 26 mins
The Alpha's Protective Mate,By: Jaymin Snow,Length: 12 hrs and 41 mins
A Clash of Kings,By: George R.R. Martin,Length: 37 hrs and 12 mins
The Grief Cure,By: Cody Delistraty,Length: 5 hrs and 49 mins
The Beast Realms Trilogy,By: R. P. Jones,Length: 51 hrs and 59 mins
Look on the Bright Side,By: Kristan Higgins,Length: 12 hrs and 34 mins
All the Skills 4: A Deck-Building LitRPG,By: Honour Rae,Length: 14 hrs and 26 mins
The Hookup Mix-Up,By: Riley Hart,Length: 6 hrs and 47 mins
Red Sky Mourning,By: Jack Carr,Length: 15 hrs and 28 mins
The Girl in the Dark,By: A.J. Rivers,Length: 7 hrs and 20 mins
A Storm of Swords,By: George R.R. Martin,Length: 47 hrs and 34 mins
The Witch of Webs,By: pirateaba,Length: 45 hrs and 53 mins
Summer in the Highlands,"By: Nichole Van, Heidi Kimball, Michele Paige Holmes",Length: 9 hrs and 46 mins
Forsaken Relic,"By: Caroline Peckham, Susanne Valenti",Length: 10 hrs and 14 mins
House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
Addicted to the Ruin,By: Rosa Lee,Length: 9 hrs and 10 mins
Hiding Him,By: Adam Hattan,Length: 7 hrs and 53 mins
Tom Clancy Shadow State,By: M.P. Woodward,Length: 15 hrs
Moral Injuries,By: Christie Watson,Length: 9 hrs and 42 mins
Life as No One Knows It,By: Sara Imari Walker,Length: 8 hrs
Born of Blood and Ash,By: Jennifer L. Armentrout,Length: 24 hrs
The Amethyst Kingdom,By: A.K. Mulford,Length: 13 hrs and 23 mins
Seabreeze Gala,By: Jan Moran,Length: 6 hrs and 42 mins
The Adversary,"By: Torsten Weitze, Tim Casey - translator",Length: 22 hrs and 44 mins
Under the Breaking Sky: The Complete Apocalyptic Horror Series,By: Nick Clausen,Length: 59 hrs and 36 mins
Nervous Breakthrough,By: Christy Boulware,Length: 5 hrs and 29 mins
Devil's Own,By: K.M. Neuhold,Length: 9 hrs and 15 mins
Queen of Chaos,By: Amelia Hutchins,Length: 13 hrs and 50 mins
A Great Disorder,By: Richard Slotkin,Length: 20 hrs and 53 mins
True Believer,By: Jack Carr,Length: 15 hrs and 44 mins
Rancher's Law,"By: Diana Palmer, Teri Wilson",Length: 12 hrs and 58 mins
Zenith,"By: Jonathan Yanez, Ross Buzzell",Length: 12 hrs and 28 mins
Harry Potter and the Prisoner of Azkaban (Narrated by Stephen Fry),By: J.K. Rowling,Length: 12 hrs and 3 mins
What Would the Rockefellers Do?,"By: Garrett Gunderson, Michael Isom",Length: 4 hrs and 46 mins
The Mercy of Gods,By: James S.A. Corey,Length: 18 hrs and 30 mins
God of War,By: Rina Kent,Length: 15 hrs
Children of Dune,By: Frank Herbert,Length: 16 hrs and 51 mins
Under Your Spell,By: Laura Wood,Length: 10 hrs and 41 mins
How to Talk Dirty,By: Madden Ferrari,Length: 6 hrs and 20 mins
A Scion's Duty,By: Tom Elliot,Length: 16 hrs and 43 mins
Beyond the Badge: Nox,By: Jeanne St. James,Length: 11 hrs and 31 mins
The Worst of You,By: Sarah Richards,Length: 10 hrs and 51 mins
Dune Messiah,By: Frank Herbert,Length: 8 hrs and 57 mins
Sour Candy,By: Kealan Patrick Burke,Length: 2 hrs and 36 mins
The Power of Your Dreams,"By: Stephanie Ike Okafor, Touré Roberts",Length: 7 hrs
Words of Radiance,By: Brandon Sanderson,Length: 48 hrs and 13 mins
Competitive Strategy,By: Michael E. Porter,Length: 15 hrs and 31 mins
A Billionaire's Weakness 2,By: Londyn Lenz,Length: 9 hrs and 56 mins
Social Media Marketing: Your Path to 10K/Month,By: Ethan Robinson,Length: 5 hrs
Just for the Summer,By: Abby Jimenez,Length: 11 hrs and 43 mins
The Duke at Hazard,By: KJ Charles,Length: 10 hrs
VIEWS,By: Marc-Uwe Kling,Length: 5 hrs and 40 mins
He Found Me,By: Joy Mullett,Length: 5 hrs and 11 mins
Harry Potter and the Goblet of Fire (Narrated by Stephen Fry),By: J.K. Rowling,Length: 20 hrs and 54 mins
"Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
Change of Heart,By: Kate Canterbary,Length: 10 hrs and 51 mins
The Forever Ship,"By: Scott Bartlett, Joshua James",Length: 18 hrs and 20 mins
Sidewinder,"By: L.T. Ryan, Brian Shea",Length: 5 hrs and 36 mins
Amazon FBA Made Easy: The Step By Step Guide to Build Your Own Successful Private Label E-Commerce Business and Generate Passive Income from Home + Secret Winning Products,By: Ethan Robinson,Length: 5 hrs and 4 mins
Sticks and Stones,By: Susie Tate,Length: 8 hrs and 46 mins
Learn Spanish with Popular Slang Words & Phrases,By: Emily Montgomery,Length: 11 hrs and 41 mins
Never Kiss a Fae,"By: Lexi C. Foss, J.R. Thorn",Length: 33 hrs and 10 mins
"PMP PMBOK 7 Project Management Professional Audio Study Guide 2024-2025: Perfect for Commuting, Exercising, and doing Chores!","By: Samuel Davidson, Rebecca Davidson",Length: 10 hrs
Recon,By: Craig Alanson,Length: 16 hrs and 26 mins
We Solve Murders,By: Richard Osman,Length: 14 hrs
The Missing Bones,By: Alex Sigmore,Length: 8 hrs and 30 mins
God Emperor of Dune,By: Frank Herbert,Length: 15 hrs and 48 mins
He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins
Batting Style,By: Louisa Masters,Length: 6 hrs and 49 mins
Oathbringer,By: Brandon Sanderson,Length: 55 hrs and 5 mins
Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
The Song Rising,By: Samantha Shannon,Length: 13 hrs and 12 mins
The Hero of Ages,By: Brandon Sanderson,Length: 27 hrs and 25 mins
Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
